Artist,Track,Loudness,Acousticness,Tempo,Url_youtube
Khalid,Eastside (with Halsey & Khalid),-7.665,0.549,89.949,https://www.youtube.com/watch?v=56WBK4ZK_cw
Khalid,Better,-10.278,0.0765,97.949,https://www.youtube.com/watch?v=x3bfa3DZ8JM
Khalid,Location,-11.462,0.33,80.126,https://www.youtube.com/watch?v=by3yRdlQvzs
Khalid,8TEEN,-5.802,0.225,105.03,https://www.youtube.com/watch?v=KZTbbE1sNF8
Khalid,Beautiful People (feat. Khalid),-8.114,0.124,92.979,https://www.youtube.com/watch?v=mj0XInqZMHY
Khalid,Love Lies (with Normani),-5.626,0.0956,143.955,https://www.youtube.com/watch?v=xYtsL9znopI
Shakira,"Shakira: Bzrp Music Sessions, Vol. 53",-5.6,0.274,122.104,https://www.youtube.com/watch?v=CocEMWdc7Ck
Shakira,Monotonía,-4.207,0.419,131.963,https://www.youtube.com/watch?v=j5y6xLpRwx4
Shakira,Te Felicito,-4.654,0.234,174.14,https://www.youtube.com/watch?v=4I25nV9hXGA
Shakira,Hips Don't Lie (feat. Wyclef Jean),-5.892,0.284,100.024,https://www.youtube.com/watch?v=DUT5rEU6pqM
Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),-6.408,0.0062,126.994,https://www.youtube.com/watch?v=pRpeEdMmmQ0
Shakira,DON'T YOU WORRY,-5.282,0.176,131.971,https://www.youtube.com/watch?v=me19SUmWu2s
Shakira,Dia de Enero,-11.589,0.35,165.747,https://www.youtube.com/watch?v=BPidLpADlaM
Shakira,Chantaje (feat. Maluma),-2.921,0.187,102.034,https://www.youtube.com/watch?v=6Mgqbai3fKo
Shakira,Inevitable,-7.786,0.269,91.976,https://www.youtube.com/watch?v=nYbcVK2jjXc
Shakira,Antologia,-11.059,0.5,97.967,https://www.youtube.com/watch?v=eZGIoE8A8L4
Machine Gun Kelly,my ex's best friend (with blackbear),-5.134,0.00473,124.939,https://www.youtube.com/watch?v=J_n01uvyhI8
Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),-4.718,0.0257,119.921,https://www.youtube.com/watch?v=wK-8TCDrbV8
Machine Gun Kelly,maybe (feat. Bring Me The Horizon),-4.802,0.000735,88.014,https://www.youtube.com/watch?v=9xht4JIOfjU
